time/total_timesteps,train/explained_variance,train/value_loss,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/ent_coef,time/time_elapsed,train/entropy_loss,train/policy_loss,train/learning_rate,train/n_updates
2752512,0.9584639519453049,0.035299960523843765,3.392043352127075,307,336,34.99,0.13989952,8955,-0.227920264005661,-0.27004003524780273,0.00010669312,335
2785280,0.9473849423229694,0.05269550532102585,3.4195666313171387,307,340,34.65,0.1385888,9057,-0.22812460362911224,-0.38476747274398804,0.00010557900800000001,339
2818048,0.9512800499796867,0.03660987690091133,3.4087021350860596,307,344,34.42,0.13727807999999997,9160,-0.21853893995285034,-0.4185081124305725,0.000104464896,343
2850816,0.9515468254685402,0.043949197977781296,3.2933592796325684,307,348,36.94,0.13596735999999998,9264,-0.23298391699790955,-0.3328551948070526,0.00010335078399999999,347
2883584,0.9461861662566662,0.0560976080596447,3.1934213638305664,307,352,37.74,0.13465664,9365,-0.24169769883155823,-0.2287890613079071,0.000102236672,351
2916352,0.9482366815209389,0.05729713290929794,3.180586338043213,308,356,37.81,0.13334592,9465,-0.22678357362747192,-0.16855403780937195,0.00010112256,355
2949120,0.9531411081552505,0.042951200157403946,3.394125461578369,308,360,35.03,0.1320352,9571,-0.21887117624282837,-0.27445951104164124,0.00010000844800000001,359
2981888,0.9438702613115311,0.0497991219162941,3.261512517929077,308,364,36.57,0.13072448,9670,-0.22221338748931885,-0.39559000730514526,9.8894336e-05,363
3014656,0.9503303542733192,0.045773543417453766,3.3403611183166504,308,368,35.02,0.12941376,9771,-0.21859383583068848,-0.40251070261001587,9.778022400000002e-05,367
3047424,0.9616531766951084,0.035265885293483734,3.2577383518218994,308,372,35.99,0.12810304,9871,-0.21459902822971344,-0.3719761371612549,9.6666112e-05,371
3080192,0.9434269964694977,0.060642849653959274,3.2441132068634033,308,376,36.78,0.12679232000000001,9977,-0.22447368502616882,-0.2001718282699585,9.555200000000001e-05,375
3112960,0.9551333263516426,0.042054183781147,3.2815065383911133,308,380,36.43,0.12548159999999997,10078,-0.22271956503391266,-0.31704095005989075,9.4437888e-05,379
3145728,0.9447707235813141,0.04555785655975342,3.0799615383148193,309,384,38.45,0.12417088000000001,10179,-0.22145569324493408,-0.37814587354660034,9.332377599999999e-05,383
3178496,0.9259839728474617,0.071528859436512,3.1205081939697266,309,388,37.81,0.12286016,10284,-0.22379562258720398,-0.2793768644332886,9.2209664e-05,387
3211264,0.9521436542272568,0.05917459726333618,3.206385612487793,309,392,36.75,0.12154944000000001,10383,-0.21160879731178284,-0.17175981402397156,9.1095552e-05,391
