train/n_updates,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/policy_loss,time/total_timesteps,rollout/ep_len_mean,time/fps,train/entropy_loss,train/value_loss,time/iterations,train/learning_rate,train/explained_variance
1179,-5.2578935623168945,4252,0.15209874285714287,0.02683090791106224,1812480,53.55,426,-0.8160597681999207,0.7685362696647644,1180,0.00023532342857142855,-0.31949377059936523
1199,-5.41485595703125,4326,0.15128685714285717,0.006566762924194336,1843200,53.62,425,-0.8183640241622925,0.8810224533081055,1200,0.0002342262857142857,-0.28103768825531006
1219,-5.908347129821777,4400,0.15047497142857144,0.008376291021704674,1873920,61.88,425,-0.8297557234764099,0.750316321849823,1220,0.0002331291428571428,-0.29093658924102783
1239,-8.089539527893066,4474,0.14966308571428572,-0.001104311435483396,1904640,81.43,425,-0.8297468423843384,0.8028997778892517,1240,0.00023203199999999996,-0.39660632610321045
1259,-5.06846284866333,4549,0.14885120000000002,0.023360129445791245,1935360,51.97,425,-0.8156258463859558,0.9943035840988159,1260,0.00023093485714285712,-0.43407607078552246
1279,-7.0086493492126465,4626,0.1480393142857143,0.02492370828986168,1966080,72.48,424,-0.8188427686691284,0.7624463438987732,1280,0.00022983771428571422,-0.13062584400177002
1299,-6.123676776885986,4704,0.14722742857142856,0.023395178839564323,1996800,62.22,424,-0.8249236941337585,0.8871140480041504,1300,0.00022874057142857138,-0.44462764263153076
1319,-5.3499274253845215,4778,0.14641554285714287,0.01704293116927147,2027520,55.0,424,-0.8256367444992065,0.775327205657959,1320,0.0002276434285714285,-0.25949978828430176
1339,-6.350915431976318,4852,0.14560365714285717,0.019639555364847183,2058240,64.58,424,-0.8160659074783325,0.9136425852775574,1340,0.00022654628571428567,-0.23312604427337646
1359,-6.185488700866699,4928,0.14479177142857144,0.02137678489089012,2088960,59.6,423,-0.8270796537399292,0.8594099879264832,1360,0.00022544914285714283,-0.490514874458313
1379,-5.720637321472168,5000,0.14397988571428572,0.021783433854579926,2119680,60.86,423,-0.8232247233390808,0.7489572763442993,1380,0.00022435199999999996,-0.5960257053375244
1399,-6.546231746673584,5076,0.14316800000000002,0.03291195258498192,2150400,64.18,423,-0.8226380348205566,0.886109471321106,1400,0.0002232548571428571,-0.8834497928619385
1419,-5.148306369781494,5151,0.1423561142857143,0.012015517801046371,2181120,49.58,423,-0.8233301043510437,0.9560491442680359,1420,0.00022215771428571427,-0.25295066833496094
1439,-6.6634063720703125,5226,0.1415442285714286,0.01681596226990223,2211840,69.6,423,-0.8283957839012146,0.7760514616966248,1440,0.00022106057142857137,-0.24677860736846924
1459,-6.045970916748047,5301,0.14073234285714287,0.016602300107479095,2242560,61.37,422,-0.8236075639724731,0.7660965919494629,1460,0.00021996342857142853,-0.3370990753173828
1479,-7.290734767913818,5377,0.13992045714285717,0.023986514657735825,2273280,68.72,422,-0.8148619532585144,0.9536625742912292,1480,0.0002188662857142857,-0.38312697410583496
1499,-6.491886138916016,5452,0.13910857142857144,0.031985245645046234,2304000,63.86,422,-0.8248913288116455,0.8392612338066101,1500,0.0002177691428571428,-0.32191669940948486
1519,-6.578478813171387,5527,0.13829668571428572,0.027100127190351486,2334720,69.64,422,-0.8153941035270691,0.9297819137573242,1520,0.00021667199999999995,-0.3031877279281616
1539,-6.768613815307617,5601,0.13748480000000002,0.01114007830619812,2365440,72.79,422,-0.8252873420715332,0.8117645978927612,1540,0.0002155748571428571,-0.4140162467956543
1559,-6.796051025390625,5675,0.13667291428571432,0.01056936290115118,2396160,68.38,422,-0.8191859126091003,0.900361955165863,1560,0.00021447771428571423,-0.3406027555465698
1579,-6.3994622230529785,5750,0.13586102857142857,0.015785181894898415,2426880,65.57,422,-0.8237821459770203,0.7151941061019897,1580,0.0002133805714285714,-0.2164245843887329
1599,-6.123884677886963,5826,0.13504914285714287,0.01431574672460556,2457600,65.66,421,-0.8125350475311279,0.893855094909668,1600,0.00021228342857142855,-0.32549428939819336
