train/entropy_loss,time/total_timesteps,time/fps,train/n_updates,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,rollout/ep_rew_mean,train/value_loss,train/learning_rate,time/iterations,train/policy_loss,train/explained_variance
-0.284163236618042,4352000,467,8499,9318,416.01,1.3653333333333333,18.016326904296875,1.8384416103363037,0.0003,8500,0.027397839352488518,-2.753734588623047e-05
-0.267218679189682,4403200,467,8599,9427,381.3,1.3578666666666668,17.53582000732422,1.921388030052185,0.0003,8600,0.037511203438043594,-6.186962127685547e-05
-0.2405756115913391,4454400,467,8699,9537,387.12,1.3504,17.329801559448242,5.368027210235596,0.0003,8700,0.0013190638273954391,-6.9141387939453125e-06
-0.2625699043273926,4505600,467,8799,9644,375.15,1.3429333333333333,17.498205184936523,7.663296222686768,0.0003,8800,0.014082502573728561,6.616115570068359e-06
-0.25770023465156555,4556800,467,8899,9752,401.11,1.3354666666666666,18.116226196289062,4.783041000366211,0.0003,8900,0.04899047315120697,-2.7060508728027344e-05
-0.25268688797950745,4608000,467,8999,9864,417.59,1.3279999999999998,18.882232666015625,2.5872092247009277,0.0003,9000,0.03740640729665756,-5.7220458984375e-05
-0.2526876926422119,4659200,467,9099,9973,442.17,1.3205333333333333,18.85504150390625,2.460969924926758,0.0003,9100,0.03360818326473236,-1.0132789611816406e-05
-0.2555655837059021,4710400,467,9199,10085,432.35,1.3130666666666666,19.042909622192383,3.9775710105895996,0.0003,9200,0.002143135294318199,1.2695789337158203e-05
-0.2671935558319092,4761600,467,9299,10193,395.36,1.3056,17.84944725036621,4.527507781982422,0.0003,9300,0.04103478789329529,-9.179115295410156e-06
-0.26569873094558716,4812800,467,9399,10301,391.11,1.2981333333333334,17.305038452148438,1.2017937898635864,0.0003,9400,0.03841141238808632,-3.3020973205566406e-05
-0.26822710037231445,4864000,467,9499,10409,402.19,1.2906666666666666,17.200868606567383,2.721480369567871,0.0003,9500,0.00945114903151989,-4.017353057861328e-05
-0.24865218997001648,4915200,467,9599,10521,407.2,1.2832,18.023401260375977,5.59407901763916,0.0003,9600,0.0755031630396843,2.014636993408203e-05
-0.25854963064193726,4966400,467,9699,10630,421.28,1.2757333333333334,18.702177047729492,2.69154691696167,0.0003,9700,0.029356127604842186,1.0311603546142578e-05
-0.27946555614471436,5017600,467,9799,10739,417.8,1.2682666666666667,18.126480102539062,4.086277484893799,0.0003,9800,0.03124108538031578,-3.2782554626464844e-05
-0.299061119556427,5068800,467,9899,10849,389.23,1.2608000000000001,18.364652633666992,1.150794506072998,0.0003,9900,0.02347085438668728,-0.00011587142944335938
-0.25481683015823364,5120000,467,9999,10959,368.25,1.2533333333333334,17.422588348388672,8.124088287353516,0.0003,10000,0.04541883245110512,-1.4185905456542969e-05
-0.2685914933681488,5171200,467,10099,11067,389.8,1.2458666666666667,17.7020320892334,3.155078172683716,0.0003,10100,0.007899768650531769,-5.125999450683594e-06
-0.25566720962524414,5222400,467,10199,11178,375.24,1.2384,17.249544143676758,7.012991428375244,0.0003,10200,0.02405483089387417,1.1026859283447266e-05
-0.2722819745540619,5273600,467,10299,11288,385.94,1.2309333333333332,17.981307983398438,2.265532970428467,0.0003,10300,0.053720079362392426,-5.269050598144531e-05
-0.26336777210235596,5324800,467,10399,11398,467.1,1.2234666666666667,19.385377883911133,3.8878164291381836,0.0003,10400,0.029591286554932594,-1.9788742065429688e-05
-0.25541138648986816,5376000,467,10499,11509,427.28,1.216,18.67401885986328,2.292551040649414,0.0003,10500,0.005022039636969566,-1.4662742614746094e-05
