train/learning_rate,train/explained_variance,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/policy_loss,train/entropy_loss,time/total_timesteps,time/iterations,train/value_loss
0.0003,-5.257129669189453e-05,0.9322666666666668,440,16612,195.28,14299,12.057456970214844,0.013419868424534798,-0.28595682978630066,7321600,14300,1.0684080123901367
0.0003,-3.5762786865234375e-05,0.9248000000000001,440,16728,158.24,14399,10.194442749023438,0.052627041935920715,-0.2598401606082916,7372800,14400,4.941707611083984
0.0003,-0.0001881122589111328,0.9173333333333333,440,16845,127.47,14499,8.932788848876953,0.022598745301365852,-0.2632150650024414,7424000,14500,3.061330795288086
0.0003,-0.00026798248291015625,0.9098666666666666,440,16963,138.76,14599,9.127880096435547,0.03782115876674652,-0.2487834244966507,7475200,14600,1.888056755065918
0.0003,-0.00018477439880371094,0.9024000000000001,440,17080,219.15,14699,12.560084342956543,0.037123918533325195,-0.2703145742416382,7526400,14700,3.5939199924468994
0.0003,-0.00012171268463134766,0.8949333333333334,440,17196,141.49,14799,9.025110244750977,0.0008513722568750381,-0.2761944532394409,7577600,14800,5.486994743347168
0.0003,-0.000148773193359375,0.8874666666666666,440,17313,190.25,14899,11.259322166442871,0.025455065071582794,-0.3080052435398102,7628800,14900,1.994107961654663
0.0003,-0.00016927719116210938,0.8799999999999999,440,17428,249.34,14999,14.21099853515625,0.08007963001728058,-0.2962133288383484,7680000,15000,4.755698204040527
0.0003,-0.0003236532211303711,0.8725333333333334,440,17544,180.7,15099,11.108911514282227,0.02949795499444008,-0.28699353337287903,7731200,15100,1.1801447868347168
0.0003,-0.00014078617095947266,0.8650666666666667,440,17664,115.6,15199,7.838051795959473,0.039444148540496826,-0.26765429973602295,7782400,15200,2.760636329650879
0.0003,-9.5367431640625e-07,0.8575999999999999,440,17779,137.31,15299,8.736659049987793,0.04422997683286667,-0.2503838539123535,7833600,15300,4.395301342010498
0.0003,-3.731250762939453e-05,0.8501333333333334,440,17894,149.44,15399,10.008667945861816,0.06138567253947258,-0.3016824424266815,7884800,15400,6.768701553344727
0.0003,-0.00017118453979492188,0.8426666666666667,440,18014,226.97,15499,12.98835563659668,0.0036149020306766033,-0.2773963510990143,7936000,15500,1.6079425811767578
0.0003,-5.269050598144531e-05,0.8351999999999999,440,18131,158.78,15599,9.99760627746582,0.07948954403400421,-0.2599271535873413,7987200,15600,10.989984512329102
0.0003,-0.00010585784912109375,0.8277333333333332,440,18247,165.58,15699,10.3949613571167,0.07059992104768753,-0.2491859793663025,8038400,15700,6.495695114135742
0.0003,1.0073184967041016e-05,0.8202666666666667,440,18366,153.78,15799,10.08848762512207,0.045831385999917984,-0.2658839821815491,8089600,15800,5.01495361328125
0.0003,-0.00024056434631347656,0.8128,440,18483,135.26,15899,8.544726371765137,0.045930832624435425,-0.25210750102996826,8140800,15900,1.1652566194534302
