train/value_loss,time/time_elapsed,train/entropy_loss,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/n_updates,train/policy_loss,rollout/ep_len_mean,train/learning_rate,train/ent_coef,train/explained_variance
0.497555673122406,5411,-0.5816613435745239,2150400,-16.29515838623047,397,1400,1399,0.06897373497486115,85.54,0.00019255679999999998,0.10054400000000002,0.3946283459663391
0.5584621429443359,5486,-0.5678859353065491,2181120,-12.187251091003418,397,1420,1419,0.07064367830753326,63.44,0.00019102079999999997,0.09912320000000001,0.21939247846603394
0.4992603063583374,5559,-0.5849255323410034,2211840,-13.349335670471191,397,1440,1439,0.01519157737493515,72.2,0.00018948480000000002,0.09770240000000001,0.5794603526592255
0.46551746129989624,5635,-0.5770522356033325,2242560,-16.50042152404785,397,1460,1459,0.05296390503644943,86.87,0.0001879488,0.09628160000000001,0.30477339029312134
0.4430443048477173,5710,-0.5775270462036133,2273280,-11.579031944274902,398,1480,1479,0.06381618976593018,61.35,0.0001864128,0.09486080000000001,0.36314618587493896
0.4645999073982239,5787,-0.5780054926872253,2304000,-15.141135215759277,398,1500,1499,0.013892075046896935,78.08,0.0001848768,0.09344000000000002,0.6446018218994141
0.4406512379646301,5861,-0.5859934091567993,2334720,-11.664299011230469,398,1520,1519,0.02929897978901863,61.48,0.0001833408,0.09201920000000002,0.31410616636276245
0.46748149394989014,5935,-0.5968220829963684,2365440,-11.831032752990723,398,1540,1539,0.04908420890569687,64.04,0.0001818048,0.09059840000000001,0.37202924489974976
0.5798647403717041,6012,-0.5796116590499878,2396160,-12.433319091796875,398,1560,1559,0.020066775381565094,64.08,0.0001802688,0.08917760000000001,0.5106723010540009
0.49219179153442383,6088,-0.5872560143470764,2426880,-11.7763671875,398,1580,1579,0.09395652264356613,62.47,0.0001787328,0.08775680000000001,0.33746856451034546
0.5242962837219238,6163,-0.5912923216819763,2457600,-11.068035125732422,398,1600,1599,0.0580068975687027,59.77,0.0001771968,0.08633600000000002,0.4611230492591858
0.47567814588546753,6238,-0.5950713157653809,2488320,-11.751867294311523,398,1620,1619,0.05298991501331329,63.05,0.0001756608,0.08491520000000002,0.5545901954174042
0.5066817402839661,6315,-0.5804110765457153,2519040,-13.267526626586914,398,1640,1639,0.08068660646677017,70.72,0.0001741248,0.08349440000000001,0.42237889766693115
0.44654402136802673,6390,-0.5858542919158936,2549760,-19.51104164123535,398,1660,1659,0.04518281668424606,104.03,0.0001725888,0.08207360000000001,0.539034366607666
0.5161451697349548,6467,-0.5811514854431152,2580480,-14.914409637451172,398,1680,1679,0.04421482980251312,81.37,0.0001710528,0.08065280000000001,0.5943649709224701
0.5363860130310059,6542,-0.5736432671546936,2611200,-13.6965913772583,399,1700,1699,0.0684710294008255,71.31,0.00016951679999999998,0.07923200000000001,0.2807779312133789
0.4843786656856537,6616,-0.581605851650238,2641920,-15.197863578796387,399,1720,1719,0.05777899920940399,79.63,0.00016798079999999998,0.07781120000000002,0.4595285654067993
0.4823662042617798,6693,-0.5904024839401245,2672640,-10.98320198059082,399,1740,1739,0.03654417023062706,60.11,0.0001664448,0.07639040000000001,0.5140908360481262
0.4823083281517029,6769,-0.5943827033042908,2703360,-14.878277778625488,399,1760,1759,0.02773365192115307,80.6,0.00016490880000000002,0.07496960000000003,0.6953146457672119
