rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/ent_coef,train/learning_rate,train/n_updates,train/value_loss,train/explained_variance,train/policy_loss,train/entropy_loss
122.76,1301,317,-3.4159622192382812,101,413696,0.27039872,5.904e-05,100,0.35018420219421387,-0.15889620780944824,0.017337894067168236,-0.6620312929153442
124.14,1314,317,-3.627720594406128,102,417792,0.26812544000000005,5.863040000000001e-05,101,0.3724691867828369,-0.13158023357391357,0.016710685566067696,-0.6599349975585938
122.13,1327,317,-3.944061279296875,103,421888,0.26585216,5.8220799999999997e-05,102,0.3642362952232361,-0.11655020713806152,0.015151283703744411,-0.6601594090461731
118.65,1340,317,-3.651904821395874,104,425984,0.26357888,5.7811200000000006e-05,103,0.35870611667633057,-0.13838839530944824,0.014896110631525517,-0.6608455777168274
112.39,1353,317,-3.2429425716400146,105,430080,0.2613056,5.740160000000001e-05,104,0.3534703254699707,-0.14610540866851807,0.01641380600631237,-0.660653829574585
111.94,1366,317,-3.0952816009521484,106,434176,0.25903232,5.6992e-05,105,0.34604185819625854,-0.19691956043243408,0.001934207510203123,-0.6620175242424011
116.98,1378,317,-3.3321173191070557,107,438272,0.25675904,5.6582399999999995e-05,106,0.4025949537754059,-0.11316192150115967,0.009214267134666443,-0.6620556116104126
118.0,1391,317,-3.582659959793091,108,442368,0.25448576,5.61728e-05,107,0.3801587224006653,0.002428770065307617,0.011952012777328491,-0.662240743637085
119.11,1404,317,-3.743438482284546,109,446464,0.25221247999999996,5.576320000000001e-05,108,0.3513183891773224,-0.04511582851409912,0.004696608055382967,-0.6617821455001831
110.97,1417,317,-3.41825008392334,110,450560,0.24993920000000003,5.53536e-05,109,0.3681316375732422,-0.06517410278320312,0.019863713532686234,-0.6601583957672119
115.28,1430,317,-3.420477867126465,111,454656,0.24766591999999998,5.494400000000001e-05,110,0.4002687931060791,-0.19789624214172363,0.01463264413177967,-0.6597167253494263
117.09,1442,317,-3.227555751800537,112,458752,0.24539264,5.45344e-05,111,0.32047039270401,0.022163867950439453,0.01612062007188797,-0.6605179309844971
123.0,1455,317,-3.348799705505371,113,462848,0.24311936,5.41248e-05,112,0.36000293493270874,-0.16883087158203125,0.005304091610014439,-0.6606333255767822
125.79,1468,317,-3.5163707733154297,114,466944,0.24084608000000002,5.37152e-05,113,0.35979631543159485,-0.09564757347106934,0.013236796483397484,-0.6606262922286987
125.4,1481,318,-3.6060805320739746,115,471040,0.23857279999999997,5.33056e-05,114,0.34057796001434326,-0.0981893539428711,0.014570927247405052,-0.6625232696533203
125.3,1494,317,-3.6686453819274902,116,475136,0.23629951999999999,5.2895999999999996e-05,115,0.3265606462955475,-0.06665349006652832,0.013829413801431656,-0.6614774465560913
117.09,1508,317,-3.336761713027954,117,479232,0.23402624,5.24864e-05,116,0.37539851665496826,-0.07454216480255127,0.011072099208831787,-0.6621864438056946
119.36,1522,317,-3.263519048690796,118,483328,0.23175296,5.207680000000001e-05,117,0.3021111786365509,-0.10838079452514648,0.016154296696186066,-0.661823570728302
