time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
229,0.000137888256,-0.08488889038562775,0.9312167689204216,8013,0.161919616,5.908395767211914,0.09446918219327927,1835008,224,223,-0.43576881289482117,92.36
229,0.000136774144,-0.10517425090074539,0.9172888919711113,8132,0.160346752,5.922260284423828,0.09598200768232346,1867776,228,227,-0.4382263422012329,91.46
230,0.00013566003200000002,-0.09889508038759232,0.909149780869484,8253,0.158773888,5.950668811798096,0.10166971385478973,1900544,232,231,-0.43744349479675293,95.17
230,0.00013454592,-0.10304675251245499,0.9148544296622276,8376,0.157201024,5.80116081237793,0.1106836125254631,1933312,236,235,-0.44873160123825073,95.69
231,0.00013343180800000001,-0.0974048301577568,0.9227640181779861,8500,0.15562816000000002,6.074883937835693,0.093920037150383,1966080,240,239,-0.4445723295211792,93.23
231,0.000132317696,-0.09826889634132385,0.9165382161736488,8628,0.154055296,5.973746299743652,0.083043172955513,1998848,244,243,-0.4320540130138397,96.64
231,0.000131203584,-0.09505021572113037,0.9251286461949348,8766,0.152482432,6.051881790161133,0.08252187073230743,2031616,248,247,-0.40918615460395813,97.34
232,0.00013008947200000002,-0.08927787840366364,0.9396580308675766,8892,0.150909568,6.058690071105957,0.07575057446956635,2064384,252,251,-0.42191147804260254,102.24
230,0.00012897536000000003,-0.08640284836292267,0.9364391341805458,9112,0.14933670400000001,6.1164231300354,0.08207608759403229,2097152,256,255,-0.423567533493042,95.15
227,0.000127861248,-0.09439307451248169,0.9369205087423325,9376,0.14776384,6.21018123626709,0.0709426999092102,2129920,260,259,-0.4131696820259094,102.57
224,0.000126747136,-0.10004991292953491,0.9421892054378986,9638,0.146190976,6.031481742858887,0.06858842074871063,2162688,264,263,-0.4247257113456726,101.63
223,0.000125633024,-0.09491148591041565,0.926639012992382,9825,0.14461811200000002,6.192540168762207,0.09041722118854523,2195456,268,267,-0.42571234703063965,95.44
223,0.00012451891200000002,-0.10086163878440857,0.9268176034092903,9965,0.143045248,6.234028339385986,0.09930284321308136,2228224,272,271,-0.4102615714073181,98.84
223,0.0001234048,-0.09209253638982773,0.9422592148184776,10101,0.141472384,5.9388298988342285,0.07126576453447342,2260992,276,275,-0.3908011317253113,99.11
224,0.000122290688,-0.0976383239030838,0.9418636448681355,10229,0.13989952,6.4626688957214355,0.07544025778770447,2293760,280,279,-0.37917250394821167,93.77
224,0.00012117657600000001,-0.09788547456264496,0.9461622498929501,10357,0.138326656,6.441084384918213,0.06086672842502594,2326528,284,283,-0.3958282172679901,99.78
224,0.000120062464,-0.08967524766921997,0.9403081238269806,10486,0.136753792,6.418799877166748,0.0717666894197464,2359296,288,287,-0.3937988877296448,96.17
225,0.000118948352,-0.11399373412132263,0.9426143206655979,10614,0.13518092799999998,6.294802665710449,0.061017684638500214,2392064,292,291,-0.40729936957359314,96.67
225,0.00011783424000000001,-0.1039007306098938,0.9297800958156586,10742,0.133608064,6.315903186798096,0.08830831944942474,2424832,296,295,-0.40062281489372253,100.31
226,0.00011672012800000002,-0.10692498832941055,0.9484857656061649,10865,0.13203520000000002,6.37156867980957,0.06727449595928192,2457600,300,299,-0.395251989364624,93.83
