time/fps,train/policy_loss,train/value_loss,train/learning_rate,time/total_timesteps,train/n_updates,train/ent_coef,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/explained_variance
266,-0.0622904933989048,0.12818722426891327,0.00012479744,1114112,135,0.143045248,136,102.0,6.08232307434082,4180,-0.24899017810821533,0.9231353923678398
267,-0.059734590351581573,0.09568135440349579,0.00012368332800000002,1130496,137,0.141472384,138,113.83,5.960009574890137,4232,-0.2501521706581116,0.9403402730822563
267,-0.05810289829969406,0.10109110176563263,0.000122569216,1146880,139,0.13989952,140,106.38,5.991703510284424,4283,-0.23977288603782654,0.9371883571147919
268,-0.04876801371574402,0.08580951392650604,0.000121455104,1163264,141,0.138326656,142,104.99,6.106043815612793,4333,-0.2452729344367981,0.943987600505352
269,-0.04710569605231285,0.10610904544591904,0.000120340992,1179648,143,0.136753792,144,100.09,5.829248428344727,4384,-0.23169702291488647,0.9372446537017822
269,-0.05254041403532028,0.11824879050254822,0.00011922688000000001,1196032,145,0.13518092799999998,146,104.24,6.082885265350342,4435,-0.23708298802375793,0.9336186945438385
270,-0.05536855012178421,0.11914380639791489,0.00011811276800000002,1212416,147,0.133608064,148,101.37,6.057966709136963,4487,-0.24648620188236237,0.9274741038680077
270,-0.06212710589170456,0.09019385278224945,0.000116998656,1228800,149,0.13203520000000002,150,102.59,5.9909348487854,4539,-0.24272356927394867,0.9414844699203968
271,-0.06201039254665375,0.09150232374668121,0.000115884544,1245184,151,0.130462336,152,100.77,6.227453231811523,4591,-0.2389218509197235,0.9402446411550045
271,-0.050565414130687714,0.10116678476333618,0.00011477043200000001,1261568,153,0.128889472,154,99.6,6.246342182159424,4642,-0.2347874939441681,0.9368032664060593
272,-0.05243884027004242,0.07387574762105942,0.00011365632,1277952,155,0.127316608,156,95.49,6.197527885437012,4694,-0.24240171909332275,0.9510159641504288
272,-0.058438293635845184,0.07552025467157364,0.00011254220800000002,1294336,157,0.125743744,158,106.37,6.1408467292785645,4745,-0.24334411323070526,0.9503815248608589
273,-0.05536708980798721,0.10441239178180695,0.000111428096,1310720,159,0.12417088000000001,160,111.5,6.300573348999023,4795,-0.2420591562986374,0.9391311518847942
273,-0.05360860005021095,0.09981919825077057,0.00011031398400000001,1327104,161,0.122598016,162,107.26,6.132617950439453,4847,-0.2431887835264206,0.9425620324909687
274,-0.06240111589431763,0.08200709521770477,0.00010919987200000001,1343488,163,0.12102515200000002,164,105.87,6.501127243041992,4899,-0.2390250861644745,0.9498098082840443
