train/n_updates,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/policy_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,train/ent_coef,time/total_timesteps,time/fps,time/iterations
19699,41.64,1.348118782043457,0.0004,0.005238540470600128,8892,-0.18283109366893768,3.032778024673462,0.0006649494171142578,0.6368896,3782400,425,19700
19799,29.87,5.754086494445801,0.0004,-0.005817656870931387,8937,-0.1586785614490509,2.503588914871216,3.17692756652832e-05,0.6350464,3801600,425,19800
19899,30.84,1.3149510622024536,0.0004,0.00237664463929832,8982,-0.12970536947250366,2.9822051525115967,0.0013892054557800293,0.6332032000000001,3820800,425,19900
19999,32.08,1.7996571063995361,0.0004,-0.011831413023173809,9027,-0.15307939052581787,2.7589337825775146,0.0006990432739257812,0.63136,3840000,425,20000
20099,32.64,1.1678719520568848,0.0004,-0.06676515936851501,9072,-0.16476961970329285,2.6100354194641113,0.0008015632629394531,0.6295168,3859200,425,20100
20199,19.88,0.958875834941864,0.0004,0.024342229589819908,9117,-0.14970868825912476,2.469742774963379,0.001615285873413086,0.6276736,3878400,425,20200
20299,18.92,4.597353935241699,0.0004,0.026315297931432724,9163,-0.18064860999584198,2.4935388565063477,0.0009303689002990723,0.6258304,3897600,425,20300
20399,18.19,0.9230787754058838,0.0004,0.0013362837489694357,9208,-0.1645468771457672,2.303632974624634,0.0008147954940795898,0.6239872,3916800,425,20400
20499,55.68,1.0428109169006348,0.0004,0.037678539752960205,9253,-0.15796491503715515,4.801191806793213,0.0008375644683837891,0.622144,3936000,425,20500
20599,31.33,0.8081068992614746,0.0004,0.008316969498991966,9298,-0.19318440556526184,2.6868066787719727,0.0018656253814697266,0.6203008000000001,3955200,425,20600
20699,65.24,4.278365135192871,0.0004,-0.025020781904459,9343,-0.1571904867887497,4.67509651184082,0.0005523562431335449,0.6184575999999999,3974400,425,20700
20799,31.83,1.5661895275115967,0.0004,-0.06617574393749237,9389,-0.1890864074230194,2.726100444793701,0.0013691186904907227,0.6166144,3993600,425,20800
20899,44.23,1.8532121181488037,0.0004,-0.025220220908522606,9433,-0.1694139689207077,3.8922243118286133,0.0007978081703186035,0.6147712,4012800,425,20900
20999,41.69,2.1377341747283936,0.0004,-0.07714225351810455,9479,-0.16369804739952087,4.131536483764648,0.0005323290824890137,0.612928,4032000,425,21000
21099,42.69,2.8707289695739746,0.0004,-0.01673852652311325,9525,-0.16765552759170532,4.084508895874023,0.0007091760635375977,0.6110848,4051200,425,21100
21199,31.06,3.0613913536071777,0.0004,0.0005142676527611911,9569,-0.16924957931041718,3.2736470699310303,0.0009503960609436035,0.6092416,4070400,425,21200
21299,32.57,3.444444179534912,0.0004,-0.043137963861227036,9615,-0.19003331661224365,3.3532352447509766,8.553266525268555e-05,0.6073984,4089600,425,21300
21399,43.92,2.943668842315674,0.0004,0.011641781777143478,9661,-0.1653239130973816,2.954880475997925,0.0004960298538208008,0.6055552,4108800,425,21400
21499,78.12,0.7857937812805176,0.0004,-0.04192312806844711,9706,-0.1535283327102661,5.478768348693848,0.0017148852348327637,0.603712,4128000,425,21500
21599,43.48,3.2749500274658203,0.0004,-0.03655529022216797,9752,-0.20182417333126068,3.7620389461517334,6.0498714447021484e-05,0.6018688000000001,4147200,425,21600
21699,54.96,0.3185853660106659,0.0004,0.00017762184143066406,9797,-0.15910153090953827,4.310342311859131,0.0032830238342285156,0.6000255999999999,4166400,425,21700
21799,55.13,1.0075819492340088,0.0004,-0.03079109638929367,9842,-0.18114492297172546,3.9174985885620117,0.00014907121658325195,0.5981824,4185600,425,21800
21899,32.74,7.74149227142334,0.0004,0.009076889604330063,9887,-0.17285802960395813,3.1402170658111572,-4.374980926513672e-05,0.5963392000000001,4204800,425,21900
21999,17.98,2.233860731124878,0.0004,-0.005312136374413967,9932,-0.15505366027355194,2.2838289737701416,0.0011308789253234863,0.594496,4224000,425,22000
22099,31.03,2.7982025146484375,0.0004,-0.006664683576673269,9977,-0.16752701997756958,2.8404529094696045,0.0008018612861633301,0.5926528,4243200,425,22100
22199,42.79,1.1677130460739136,0.0004,-0.08748378604650497,10021,-0.14773878455162048,3.30877685546875,0.0007272958755493164,0.5908096,4262400,425,22200
22299,18.8,1.4708538055419922,0.0004,0.09769036620855331,10066,-0.17205089330673218,2.4039342403411865,0.0012848377227783203,0.5889664000000001,4281600,425,22300
22399,20.27,2.4146058559417725,0.0004,0.0025779518764466047,10113,-0.17615342140197754,2.371553897857666,0.00034612417221069336,0.5871232,4300800,425,22400
22499,16.85,4.499281883239746,0.0004,-0.01107789110392332,10159,-0.14999422430992126,2.337571620941162,0.0007541179656982422,0.58528,4320000,425,22500
22599,31.68,4.984556198120117,0.0004,-0.07686883211135864,10205,-0.18718671798706055,3.6144602298736572,4.017353057861328e-05,0.5834368000000001,4339200,425,22600
22699,30.22,3.225757598876953,0.0004,-0.016582155600190163,10250,-0.16019168496131897,2.999319076538086,0.0008318424224853516,0.5815935999999999,4358400,425,22700
22799,19.89,1.7111937999725342,0.0004,-0.016599740833044052,10297,-0.16495341062545776,2.457695960998535,0.0005988478660583496,0.5797504,4377600,425,22800
